time (yyyy),Irradiance (W/m^2)
1892,1360.6503
1893,1360.8187
1894,1360.9329
1895,1360.7892
1896,1360.5822
1897,1360.4452
1898,1360.4164
1899,1360.3458
1900,1360.3227
1901,1360.2592
1902,1360.2867
1903,1360.4753
1904,1360.7487
1905,1360.5759
1906,1360.7703
1907,1360.6534
1908,1360.7142
1909,1360.587
1910,1360.457
1911,1360.3574
1912,1360.3091
1913,1360.3096
1914,1360.4144
1915,1360.7286
1916,1360.9615
1917,1361.1534
1918,1361.1036
1919,1360.8415
1920,1360.6486
1921,1360.5436
1922,1360.4438
1923,1360.44
1924,1360.5062
1925,1360.7217
1926,1360.8384
1927,1361.0274
1928,1360.9018
1929,1360.8481
1930,1360.8134
1931,1360.6843
1932,1360.5691
1933,1360.4931
1934,1360.5623
1935,1360.8021
1936,1361.2311
1937,1361.2075
1938,1361.1309
1939,1361.0941
1940,1361.001
1941,1360.9139
1942,1360.7935
1943,1360.6286
1944,1360.6755
1945,1360.9437
1946,1361.0909
1947,1361.3952
1948,1361.5088
1949,1361.4113
1950,1361.1204
1951,1360.8522
1952,1360.8249
1953,1360.6963
1954,1360.7034
1955,1360.8836
1956,1361.4239
1957,1361.9423
1958,1361.8635
1959,1361.5638
1960,1361.43
1961,1360.9982
1962,1360.8006
1963,1360.735
1964,1360.7302
1965,1360.7765
1966,1361.0046
1967,1361.2255
1968,1361.3062
1969,1361.3796
1970,1361.3784
1971,1361.0425
1972,1361.1027
1973,1360.8672
1974,1360.7735
1975,1360.718
1976,1360.6971
1977,1360.893
1978,1361.2187
1979,1361.6041
1980,1361.6423
1981,1361.6858
1982,1361.2336
1983,1361.2162
1984,1360.7929
1985,1360.6356
1986,1360.6442
1987,1360.7853
1988,1361.122
1989,1361.6458
1990,1361.5546
1991,1361.5203
1992,1361.3107
1993,1360.9452
1994,1360.7444
1995,1360.7342
1996,1360.6788
1997,1360.8097
1998,1361.1784
1999,1361.4825
2000,1361.6628
2001,1361.5711
2002,1361.6357
2003,1361.02
2004,1360.9186
2005,1360.7522
2006,1360.6731
2007,1360.5711
2008,1360.538
2009,1360.5567
2010,1360.8024
2011,1361.0743
2012,1361.241
2013,1361.3588
2014,1361.3959
2015,1361.4291
2016,1361.0082
2017,1360.7502
